UID,Name,NationID,Born,Age,Height,Weight,PositionsDesc
1002438,James-John Daws,765,29-05-1978,38,194,88,S 
1025715,Graeme Lane,765,16-04-1965,51,185,0,S 
103420,Lee Naylor,765,19-03-1980,36,178,77,D L
103424,Scott Parker,765,13-10-1980,35,180,69,DM/M C
103436,Stephen Wright,765,08-02-1980,36,183,89,D C
103459,Andrew Moran,765,07-10-1979,36,175,70,S 
103584,John Mousinho,765,30-04-1986,30,186,79,D/DM C
103607,James Henry,765,10-06-1989,27,185,78,M/AM R
103737,Adam Legzdins,765,23-11-1986,29,191,78,GK 
103768,Daniel Jones,765,14-07-1986,29,188,83,D/M L
104059,Doug Loft,765,25-12-1986,29,183,77,M C
104062,Joe Cole,765,08-11-1981,34,176,73,M/AM RLC
104132,Clint Hill,765,19-10-1978,37,183,73,D LC
104147,Phil Smith,765,14-12-1979,36,186,83,GK 
106585,Paul Robinson,765,14-12-1978,37,176,73,D LC
106587,James Coppinger,765,10-01-1981,35,170,65,M RC
106823,Kwon Jung-Hyuk,135,02-08-1978,37,193,83,GK 
107527,Dannie Bulman,765,24-01-1979,37,178,75,DM/M C
107539,Robert Green,765,19-01-1980,36,191,93,GK 
107544,Chris Kirkland,765,02-05-1981,35,199,92,GK 
107545,Paul Konchesky,765,15-05-1981,35,178,69,D L
108202,Gareth Edds,1435,03-02-1981,35,181,69,M RC
108220,Aaron Wilbraham,765,21-10-1979,36,191,78,S 
108267,Tim Cahill,1435,06-12-1979,36,180,77,AM/S C
108333,Gary Jones,765,03-06-1977,39,181,77,M C
108350,Michael Howard,765,02-12-1978,37,171,67,D L
108586,Gareth Barry,765,23-02-1981,35,183,78,DM/M C
108625,John Terry,765,07-12-1980,35,187,90,D C
108640,Paul Robinson,765,15-10-1979,36,194,90,GK 
108642,Alan Smith,765,28-10-1980,35,178,69,DM/M C
110144,Stephen Bywater,765,07-06-1981,35,188,81,GK 
110841,Mike Edwards,765,25-04-1980,36,186,85,D C
113521,Andy Parrish,765,22-06-1988,28,183,74,D RLC
115448,Tony Hibbert,765,20-02-1981,35,173,70,D R
115749,Jamie McMaster,1435,29-11-1982,33,178,79,AM RC
12007290,Alex Nimely,765,11-05-1991,25,180,70,S 
120532,Michael Ferrante,1435,28-04-1981,35,172,73,M C
120536,Adam Chambers,765,20-11-1980,35,178,71,DM/M C
120613,Simon Colosimo,1435,08-01-1979,37,183,75,D/DM C
120624,Archie Thompson,1435,23-10-1978,37,174,70,AM/S RL
122025,Michael Carrick,765,28-07-1981,34,188,74,DM/M C
122112,Peter Clarke,765,03-01-1982,34,188,84,D C
122718,Ian Evatt,765,19-11-1981,34,191,88,D C
123544,Craig Fagan,765,11-12-1982,33,181,75,AM/S R
123711,Brad Jones,1435,19-03-1982,34,191,78,GK 
124102,Adam Lockwood,765,26-10-1981,34,183,76,D C
124867,Andy Morrell,765,28-09-1974,41,181,73,S 
125188,Jon Parkin,765,30-12-1981,34,194,86,S 
125324,George Pilkington,765,07-11-1981,34,183,79,D C
126899,Stephen Warnock,765,12-12-1981,34,178,76,D L
127015,Ryan Wignall,765,12-03-1989,27,160,0,AM C
127108,Luke Wilkshire,1435,02-10-1981,34,176,72,D R
127925,Jermain Defoe,765,07-10-1982,33,167,71,S 
127930,Luke Varney,765,28-09-1982,33,181,70,AM/S RL
127933,Lee Cook,765,03-08-1982,33,176,72,M/AM L
127984,Elliot Omozusi,765,15-12-1988,27,181,81,D RL
128748,Ryan Griffiths,1435,21-08-1981,34,184,78,S 
128750,Adam Griffiths,1435,21-08-1979,36,189,82,D/DM RC
128757,Alvin Ceccoli,1435,05-08-1974,41,182,79,D/WB L
128763,Scott Chipperfield,1435,30-12-1975,40,180,80,D/M/AM L
128768,Daniel Beltrame,1435,28-12-1975,40,190,98,GK 
128776,Wayne Srhoj,1435,23-03-1982,34,184,81,DM/M C
128781,David Pilic,1435,08-09-1978,37,173,0,AM C
128784,Jade North,1435,07-01-1982,34,186,83,D RC
128801,Pablo Cardozo,1435,23-12-1972,43,179,74,S 
128835,Paul Henderson,1435,22-04-1976,40,186,88,GK 
128843,Shane Lyons,1435,29-08-1979,36,175,73,D/M/AM L
129005,David Arranz,1435,06-11-1979,36,175,66,M L
129021,Ilija Prenzoski,1435,07-08-1978,37,172,0,M/AM R
129059,John Fusco,1435,15-05-1979,37,170,0,D RLC
129264,Marcus Stergiopoulos,1435,12-06-1974,42,174,0,WB L
129282,Joel Griffiths,1435,21-08-1979,36,181,78,AM/S RC
129288,Matthew Thompson,1435,18-08-1982,33,177,78,M LC
129317,Michael Curcija,1435,27-06-1977,39,181,78,S 
129329,Brad Swancott,1435,23-07-1979,36,178,76,GK 
129335,Travis Dodd,1435,06-01-1980,36,177,80,M/AM R
1300457,Mathew Pressello,1435,16-10-1984,31,182,0,D C
1300893,Jason Dimitrievski,1435,24-03-1985,31,185,0,M C
1300895,Igorce Kolevski,1435,27-10-1985,30,170,0,M C
1300961,Felix Rosman,1435,28-12-1976,39,190,0,D C
1300965,Pece Siveski,1435,07-09-1979,36,178,0,DM/M C
1300966,Daniel Zilic,1435,28-06-1984,32,197,0,GK 
1300968,Neven Antic,1435,13-10-1983,32,184,0,D RC
1301132,Tarek Elrich,1435,01-01-1987,29,180,70,D/WB R
1301151,Labinot Haliti,1435,26-10-1985,30,184,76,AM/S RLC
1301152,Petar Markovic,1435,10-07-1983,32,180,73,D C
1301802,Wade Oostendorp,1435,20-04-1988,28,183,76,D C
1301803,Justin Pasfield,1435,30-05-1985,31,189,78,GK 
1301880,Adam Federici,1435,31-01-1985,31,188,90,GK 
1301887,Joel Theissen,1435,12-08-1986,29,179,70,M L
1301900,Robert Cattanach,1435,10-09-1984,31,166,0,S 
1301905,Erik Paartalu,1435,03-05-1986,30,193,87,DM/M C
1301906,Nick Crossley,1435,12-09-1987,28,192,0,GK 
1301908,Mario Aparicio,1435,13-02-1986,30,195,0,GK 
1301909,Ben Griffin,1435,07-03-1986,30,186,85,D C
1301910,Shannon Lancini,1435,08-05-1988,28,182,82,GK 
1301912,Tim Smits,1435,11-04-1986,30,172,0,S 
1302029,Jordan Simpson,1435,28-08-1985,30,194,86,DM/M C
1302270,Russell Woodruffe,1435,09-11-1985,30,178,80,S 
1302300,Dario Vidosic,1435,08-04-1987,29,180,70,AM/S RC
1302374,Isaka Cernak,1435,09-04-1989,27,179,72,M/AM LC
1302375,Blake Charity,1435,27-02-1988,28,190,82,D C
1302376,Luke DeVere,1435,05-11-1989,26,186,88,D C
1302381,Robbie Kruse,1435,05-10-1988,27,179,70,M/AM/S RL
1302383,Corey Slevin,1435,21-09-1988,27,178,65,M/AM LC
1302384,David Williams,1435,26-02-1988,28,174,70,AM/S RL
1302385,Morgan Zeeno,1435,07-03-1988,28,175,70,S 
1302386,Nikolai Topor-Stanley,1435,03-11-1985,30,191,83,D C
134115,Gary Taylor-Fletcher,765,04-06-1981,35,183,77,AM/S RC
134121,Anthony Elding,765,16-04-1982,34,183,79,S 
134132,Mark Hudson,765,30-03-1982,34,186,77,D C
134133,Gary O'Neil,765,18-05-1983,33,178,70,DM/M RC
134134,Andy Lonergan,765,19-10-1983,32,193,87,GK 
134400,Matt Sparrow,765,03-10-1981,34,178,73,M RC
135093,Mario Karlovic,1435,29-05-1984,32,182,74,M C
135096,Nathan Coe,1435,01-06-1984,32,191,82,GK 
135097,Jonathan McKain,1435,21-09-1982,33,185,76,D/DM C
135100,Lawrence Drake,1435,18-12-1981,34,180,0,S C
135111,Sasa Radulovic,1435,31-07-1978,37,178,75,M/AM L
135122,Ljubo Milicevic,1435,13-02-1981,35,193,88,D C
135125,Paul Kohler,1435,05-08-1979,36,177,77,D/DM C
135127,Dylan Macallister,1435,17-05-1982,34,191,92,S 
135132,Ante Deur,1435,04-02-1980,36,175,0,M C
135160,Michael Turner,765,09-11-1983,32,194,85,D C
1394663289,Keith Bush,765,03-11-1999,16,194,0,GK 
1394663290,Ryan Harris,765,10-02-2000,16,181,0,GK 
1394663291,Alan Bowman,765,11-06-2000,16,191,0,GK 
1394663292,Tommy Sancho,765,04-12-1999,16,171,0,D RL
1394663293,Paul Morris,765,12-04-2000,16,190,0,D R
1394663294,Gary Jenkinson-Haniver,765,21-10-1999,16,185,0,D C
1394663296,Oliver Jenkinson,765,25-07-2000,15,194,0,D C
1394663297,Stephen Milne,765,01-03-2000,16,173,0,M L
1394663298,Sam Tucker,765,16-07-2000,15,184,0,M/AM R
1394663299,Greg McLean,765,22-12-1999,16,171,0,M/AM R
1394663300,Daniel Small,765,17-10-1999,16,187,0,GK 
1394663301,Jimmy O'Connor,765,21-01-2000,16,182,0,GK 
1394663303,Ryan Walker,765,10-10-1999,16,182,0,GK 
1394663304,Chris Smith,765,23-12-1999,16,188,0,GK 
